,location,price-boroughwise,property_type,review_scores_rating,listing_id
34100,Camden,expensive,large,90.0,28222404.0
34101,Camden,expensive,large,95.0,28223330.0
34109,Camden,cheap,room,100.0,28238393.0
34176,Camden,very_cheap,room,93.0,28271120.0
34183,Camden,very_expensive,large,80.0,28276091.0
34190,Camden,cheap,small,85.0,28283966.0
34195,Camden,very_cheap,room,86.0,28294630.0
34246,Camden,cheap,small,89.0,28333149.0
34290,Camden,cheap,small,73.0,28362012.0
34291,Camden,cheap,small,82.0,28362178.0
34298,Camden,very_cheap,room,94.0,28375692.0
34303,Camden,very_cheap,room,91.0,28380398.0
34320,Camden,very_cheap,room,93.0,28395118.0
34331,Camden,cheap,small,70.0,28401819.0
34342,Camden,very_cheap,room,90.0,28408092.0
34344,Camden,cheap,room,93.0,28408965.0
34355,Camden,very_expensive,large,92.0,28423736.0
34360,Camden,expensive,large,97.0,28426705.0
34364,Camden,very_cheap,room,97.0,28428744.0
34430,Camden,very_expensive,large,87.0,28475773.0
34457,Camden,cheap,room,100.0,28484078.0
34462,Camden,cheap,small,85.0,28486174.0
34469,Camden,cheap,room,84.0,28489720.0
34471,Camden,very_cheap,room,87.0,28490761.0
34474,Camden,very_cheap,room,89.0,28491926.0
34475,Camden,cheap,room,93.0,28492085.0
34476,Camden,very_cheap,room,86.0,28492267.0
34477,Camden,very_cheap,room,83.0,28492377.0
34478,Camden,cheap,room,89.0,28492483.0
34482,Camden,cheap,small,89.0,28503460.0
34500,Camden,expensive,room,73.0,28514009.0
34507,Camden,expensive,small,93.0,28518602.0
34515,Camden,average,large,67.0,28529567.0
34530,Camden,expensive,small,94.0,28538307.0
34542,Camden,expensive,small,91.0,28555536.0
34564,Camden,expensive,large,100.0,28572483.0
34572,Camden,very_cheap,room,85.0,28575817.0
34576,Camden,very_expensive,large,93.0,28577222.0
34607,Camden,cheap,room,96.0,28599087.0
34617,Camden,cheap,room,95.0,28604084.0
34624,Camden,very_cheap,room,93.0,28609043.0
34625,Camden,very_cheap,room,91.0,28609238.0
34628,Camden,very_expensive,small,90.0,28611422.0
34630,Camden,expensive,room,60.0,28621156.0
34647,Camden,very_cheap,room,90.0,28627028.0
34649,Camden,very_cheap,room,94.0,28628318.0
34674,Camden,expensive,small,90.0,28653230.0
34717,Camden,cheap,small,88.0,28681641.0
34738,Camden,very_cheap,room,81.0,28695453.0
34751,Camden,average,large,87.0,28708042.0
34776,Camden,expensive,large,84.0,28717825.0
34778,Camden,cheap,room,100.0,28718387.0
34780,Camden,very_cheap,room,97.0,28721435.0
34797,Camden,very_expensive,large,97.0,28733509.0
34798,Camden,expensive,small,76.0,28734140.0
34808,Camden,cheap,room,100.0,28745808.0
34811,Camden,expensive,small,85.0,28746744.0
34828,Camden,very_cheap,room,90.0,28754442.0
34853,Camden,cheap,small,81.0,28768745.0
34867,Camden,very_expensive,small,98.0,28773995.0
34875,Camden,very_cheap,room,88.0,28777192.0
34877,Camden,cheap,small,97.0,28778246.0
34885,Camden,expensive,large,92.0,28780599.0
34886,Camden,average,small,93.0,28780646.0
34904,Camden,cheap,small,95.0,28799592.0
34914,Camden,expensive,large,93.0,28804524.0
34929,Camden,cheap,room,97.0,28810226.0
34969,Camden,expensive,small,90.0,28838351.0
34970,Camden,very_cheap,room,92.0,28838432.0
34993,Camden,very_expensive,small,82.0,28858418.0
34998,Camden,cheap,room,93.0,28859719.0
35000,Camden,average,small,100.0,28860429.0
35046,Camden,cheap,small,88.0,28903074.0
35059,Camden,expensive,small,100.0,28915056.0
35068,Camden,cheap,large,93.0,28927346.0
35070,Camden,very_cheap,room,96.0,28928600.0
35085,Camden,cheap,small,100.0,28935356.0
35100,Camden,expensive,small,100.0,28951014.0
35106,Camden,cheap,small,84.0,28952791.0
35114,Camden,cheap,small,84.0,28955667.0
35122,Camden,expensive,small,88.0,28961720.0
35124,Camden,average,room,100.0,28970884.0
35155,Camden,very_cheap,room,88.0,28986684.0
35157,Camden,very_expensive,large,93.0,28987619.0
35163,Camden,very_expensive,small,88.0,28996204.0
35178,Camden,very_expensive,large,88.0,28999707.0
